id,name,university,platform,description,website,certificate,date,image_url,project,other
26,Math in Sports,The University of Notre Dame,edX,Come learn how you can use mathematics to get a deeper insight into both the sports you love and everyday life. ,https://www.edx.org/course/math-sports-notredamex-mat150x,https://s3.amazonaws.com/verify.edx.org/downloads/c0a6fe9336384ac29ff377becd4ba50f/Certificate.pdf,July 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/math-in-sports_378x225.jpg?itok=XbKu-e31,,
27,Inclusive Leadership Training: Becoming a Successful Leader,Catalyst ,edX,Become a successful leader by learning 21st-century leadership skills and applying concepts to the real world. ,https://www.edx.org/course/inclusive-leadership-training-becoming-catalystx-il2x,https://s3.amazonaws.com/verify.edx.org/downloads/af03a9e5207b4c5eba17fa5f11fd10c6/Certificate.pdf,August 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/inclusive_leadership_378x225.jpg?itok=ADNMfqmK,,
28,Effects of Radiation,Open Education Consoritum,edX,"Learn from Hokkaido University in Japan about the detection, measurement, chemistry, and effects of radiation in industry, medicine, and society.",https://www.edx.org/course/effects-radiation-introduction-radiation-oecx-radio101x,https://s3.amazonaws.com/verify.edx.org/downloads/d9244035a99d48b3ba8225cb446a35ce/Certificate.pdf,August 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/radio101x-378x225.png?itok=5cJLF2eL,,
29,Tangible Things,Harvard University,edX,"Gain an understanding of history, museum studies, and curation by looking at, organizing, and interpreting art, artifacts, scientific curiosities, and the stuff of everyday life. ",https://www.edx.org/course/tangible-things-discovering-history-harvardx-usw30x-0,https://s3.amazonaws.com/verify.edx.org/downloads/051b7b82ddd04c1895e1fe0f4ddd5301/Certificate.pdf,September 2015,https://webview.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/usw30x-378x225_0.png?itok=z-aFXglp,,
30,Introduction to Oil Country Tubular Goods,Tenaris University,edX,This course introduces the main criteria to consider when selecting pipe products to assure oil well integrity and mitigate risks.,https://www.edx.org/course/introduction-oil-country-tubular-goods-tenarisuniversity-pipe01x,https://s3.amazonaws.com/verify.edx.org/downloads/9b8923df1ac4432aab3c202d5900900c/Certificate.pdf,September 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/why_pipe_matters-378x225.png?itok=JssM96E0,,
31,The Science of Everyday Thinking,The University of Queensland ,edX,"Learn how to think better, argue better, and choose better. ",https://www.edx.org/course/science-everyday-thinking-uqx-think101x-1,https://s3.amazonaws.com/verify.edx.org/downloads/9cf02f379421419184d76217ca84cf2f/Certificate.pdf,September 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/think101x-course_image-378x225.png?itok=lgkAQtcP,,
32,The Rise of Superheros,Simthodian Institution,edX,"Join the Smithsonian, and comic book industry legend Stan Lee, to explore the history of the comic book and the rise of superheroes. ",https://www.edx.org/course/rise-superheroes-impact-pop-culture-smithsonianx-popx1-1x-0,https://s3.amazonaws.com/verify.edx.org/downloads/3c2a9cee88074575b04d95839f7dbe01/Certificate.pdf,September 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/superhero-banner-378x225-2.jpg?itok=57OCo7ju,,
33,Medicating for Mental Health,Colgate University,edX,"Learn how to effectively use psychiatric drugs, widely prescribed to treat psychological disorders, to improve their ability to help. ",https://www.edx.org/course/medicating-mental-health-judicious-use-colgatex-psycrx,https://s3.amazonaws.com/verify.edx.org/downloads/25bea39148374b348c89a2d00aa7b9e2/Certificate.pdf,September 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/psycrx-judicious_use_of_psychiatric_drugs-378x225.png?itok=uLbUZiuo,,
34,The Psychology of Criminal Justice,The University of Queensland ,edX,Learn how behavioural science can improve our criminal justice system.,https://www.edx.org/course/psychology-criminal-justice-uqx-crime101x-0,https://courses.edx.org/certificates/user/123882/course/course-v1:UQx+Crime101x+2T2015,October 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/crime-380x168.jpg?itok=mhDBjRoV,,
35,Machine Learning,Stanford University,Coursera,"This course provides a broad introduction to machine learning, datamining, and statistical pattern recognition.",https://www.coursera.org/learn/machine-learning/,http://psurya.com/certificates/ml.jpg,October 2015,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/ml/large-icon.png?auto=format&dpr=1&w=300&h=300&fit=fill&bg=FFF,,
